miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.10786845468058666,3,3,0,0.0,0.1,0.10344827586206896,0.9270550903516118,0.9590225072602879
M1,0.13347593141841077,5,5,0,0.0,0.16666666666666666,0.1724137931034483,1.2486645711743487,1.2917219701803608
M2,0.22037505171178873,7,7,0,0.0,0.23333333333333334,0.2413793103448276,1.0588010372357926,1.0953114178301304
M3,0.11103276683011981,2,1,1,0.5,0.06666666666666667,0.034482758620689655,0.6004233576261925,0.3105638056687202
M4,0.12109312395583337,2,2,0,0.0,0.06666666666666667,0.06896551724137931,0.5505404806550551,0.5695246351604017
M5,0.14006002990027722,2,2,0,0.0,0.06666666666666667,0.06896551724137931,0.475986380369427,0.4923997038304417
M6,0.04403166716503463,2,2,0,0.0,0.06666666666666667,0.06896551724137931,1.5140618322897934,1.5662708609894416
M7,0.12206297433794894,7,7,0,0.0,0.23333333333333334,0.2413793103448276,1.9115815799090425,1.9774981861128027
