miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M16,0.02610236707787815,55,51,4,0.07272727272727272,0.0275,0.02836484983314794,1.0535442980305931,1.0866773020438922
M17,0.025639004712227544,50,45,5,0.1,0.025,0.02502780867630701,0.9750768518747222,0.9761614757366518
M18,0.017378375429266183,34,31,3,0.08823529411764706,0.017,0.017241379310344827,0.9782272266584265,0.9921168627367408
M19,0.016358940443007806,26,25,1,0.038461538461538464,0.013,0.013904338153503892,0.7946724939362747,0.8499534674598642
M20,0.004185498087131861,6,5,1,0.16666666666666666,0.003,0.0027808676307007787,0.7167605712742707,0.6644054238730727
M21,0.00039865339555913726,0,0,0,0.0,0.0,0.0,0.0,0.0
M22,0.014042042508734582,25,21,4,0.16,0.0125,0.01167964404894327,0.8901838882929329,0.8317624762692588
M23,0.00158260559895283,0,0,0,0.0,0.0,0.0,0.0,0.0
M24,0.005054896308264129,7,6,1,0.14285714285714285,0.0035,0.0033370411568409346,0.6923979813943827,0.6601601602361824
M25,0.006429777700487505,16,16,0,0.0,0.008,0.008898776418242492,1.244210977837296,1.3839944136121203
M26,0.0007994624785409985,0,0,0,0.0,0.0,0.0,0.0,0.0
M27,0.012329330812539344,18,15,3,0.16666666666666666,0.009,0.008342602892102336,0.7299666248590472,0.676646852854141
M28,0.011707373184039475,24,20,4,0.16666666666666666,0.012,0.011123470522803115,1.024995087400089,0.9501252200594077
M29,0.022387995764694198,43,37,6,0.13953488372093023,0.0215,0.020578420467185762,0.9603360759030263,0.9191720725460325
M30,0.013796028272649707,29,27,2,0.06896551724137931,0.0145,0.015016685205784204,1.051027129941876,1.0884788657293796
M31,0.017016128232090772,31,27,4,0.12903225806451613,0.0155,0.015016685205784204,0.9109005167678802,0.8824971815541557
M32,0.0132817650763337,35,33,2,0.05714285714285714,0.0175,0.01835372636262514,1.317595959529703,1.381874039869067
M33,0.01760498541917381,35,27,8,0.22857142857142856,0.0175,0.015016685205784204,0.9940366085700095,0.8529791333669237
M34,0.012153810229645,25,22,3,0.12,0.0125,0.012235817575083427,1.0284840526397714,1.0067474597586195
M35,0.007392342445715932,17,14,3,0.17647058823529413,0.0085,0.00778642936596218,1.1498385068627317,1.0533101548176562
M36,0.02651329952997483,55,48,7,0.12727272727272726,0.0275,0.026696329254727477,1.0372153027920816,1.0069033175047006
M37,0.026461090225740544,58,52,6,0.10344827586206896,0.029,0.028921023359288096,1.095948796992109,1.092964164082499
M38,0.022329221753051125,38,38,0,0.0,0.019,0.021134593993325918,0.8509029204031165,0.9464993552871153
