miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.12935335356880617,10,8,2,0.2,0.13157894736842105,0.125,1.0172055361396644,0.9663452593326811
M1,0.16006124682899286,8,6,2,0.25,0.10526315789473684,0.09375,0.6576429959164224,0.5857132932380638
M2,0.2642686600659098,25,23,2,0.08,0.32894736842105265,0.359375,1.244746041165122,1.3598850499728958
M3,0.13314792344090332,6,6,0,0.0,0.07894736842105263,0.09375,0.592929776002799,0.7041041090033238
M4,0.14521207079672052,17,13,4,0.23529411764705882,0.2236842105263158,0.203125,1.540396809294503,1.3988162202049348
M5,0.16795674529866725,10,8,2,0.2,0.13157894736842105,0.125,0.78340972334539,0.7442392371781206
