miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.05946146050375697,5,5,0,0.0,0.041666666666666664,0.04201680672268908,0.7007339933070434,0.7066225142592036
M1,0.07357733869220236,9,9,0,0.0,0.075,0.07563025210084033,1.019335590727861,1.0279014360280951
M2,0.1214796528992294,12,12,0,0.0,0.1,0.10084033613445378,0.8231831225510058,0.8301006277825268
M3,0.06120575750382224,11,11,0,0.0,0.09166666666666666,0.09243697478991597,1.4976804536883996,1.5102660037193947
M4,0.06675143375973663,10,10,0,0.0,0.08333333333333333,0.08403361344537816,1.2484126353492444,1.2589034978311708
M5,0.0772067604076764,7,7,0,0.0,0.058333333333333334,0.058823529411764705,0.7555469627959348,0.761896096937077
M6,0.024272038065262843,5,5,0,0.0,0.041666666666666664,0.04201680672268908,1.7166529878798398,1.7310786432401748
M7,0.06728605456580532,8,8,0,0.0,0.06666666666666667,0.06722689075630252,0.9907947062264901,0.9991207121611665
M8,0.08279274825659745,11,11,0,0.0,0.09166666666666666,0.09243697478991597,1.1071823148395377,1.1164863679054162
M9,0.10423009311519313,9,8,1,0.1111111111111111,0.075,0.06722689075630252,0.7195618631666328,0.6449854235667297
M10,0.01237173106438662,2,2,0,0.0,0.016666666666666666,0.01680672268907563,1.3471572070171722,1.3584778558156358
M11,0.039879526062502856,3,3,0,0.0,0.025,0.025210084033613446,0.6268880919200922,0.6321560590790846
M12,0.011917874143726982,0,0,0,0.0,0.0,0.0,0.0,0.0
M13,0.10642091608437763,17,17,0,0.0,0.14166666666666666,0.14285714285714285,1.3311919487175232,1.3423784356815358
M14,0.0911466148757232,11,11,0,0.0,0.09166666666666666,0.09243697478991597,1.0057056621538008,1.0141569702391269
