miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.0120222523529396,23,23,0,0.0,0.0115,0.01150575287643822,0.9565595249868547,0.9570380440088592
M1,0.014876279958839458,24,24,0,0.0,0.012,0.01200600300150075,0.8066532784541758,0.8070568068576046
M2,0.024561439132659214,60,60,0,0.0,0.03,0.030015007503751877,1.2214267998697665,1.2220378187791563
M3,0.012374924126145293,22,22,0,0.0,0.011,0.011005502751375688,0.8888943388961551,0.8893390084003553
M4,0.013496180127115795,26,26,0,0.0,0.013,0.013006503251625813,0.9632355138681872,0.9637173725544645
M5,0.015610096844415468,25,25,0,0.0,0.0125,0.01250625312656328,0.800763770051298,0.8011643522274116
M6,0.004907457103619387,11,11,0,0.0,0.0055,0.005502751375687844,1.120743367464913,1.1213040194746502
M7,0.01360427276710878,32,32,0,0.0,0.016,0.016008004002001,1.1761010877908447,1.176689432507098
M8,0.016739503269875534,34,34,0,0.0,0.017,0.017008504252126064,1.0155617957071197,1.016069830622431
M9,0.021073826165471845,51,51,0,0.0,0.0255,0.025512756378189096,1.2100318091159052,1.2106371276797454
M10,0.002501386135467701,6,6,0,0.0,0.003,0.0030015007503751876,1.1993350236744116,1.1999349911699966
M11,0.008063066765888612,15,15,0,0.0,0.0075,0.007503751875937969,0.930167170601798,0.9306324868452206
M12,0.0024096227918486268,8,8,0,0.0,0.004,0.00400200100050025,1.6600108587665123,1.6608412794062153
M13,0.021516779069302525,39,39,0,0.0,0.0195,0.01950975487743872,0.9062694717082532,0.9067228331248156
M14,0.01842853498499095,40,40,0,0.0,0.02,0.02001000500250125,1.0852734640213628,1.0858163722074665
M15,0.00111299453867416,4,4,0,0.0,0.002,0.002001000500250125,1.796954010558285,1.7978529370267984
M16,0.02610236707787815,61,61,0,0.0,0.0305,0.030515257628814407,1.1684764032702941,1.1690609337371627
M17,0.025639004712227544,42,42,0,0.0,0.021,0.021010505252626314,0.8190645555747667,0.8194742927211273
M18,0.017378375429266183,24,24,0,0.0,0.012,0.01200600300150075,0.6905133364647716,0.6908587658476955
M19,0.016358940443007806,32,32,0,0.0,0.016,0.016008004002001,0.978058454075415,0.9785477279393846
M20,0.004185498087131861,5,5,0,0.0,0.0025,0.0025012506253126563,0.5973004760618923,0.5975992756997421
M21,0.00039865339555913726,2,2,0,0.0,0.001,0.0010005002501250625,2.508444706955111,2.5096995567334774
M22,0.014042042508734582,33,33,0,0.0,0.0165,0.016508254127063533,1.1750427325466715,1.1756305478205817
M23,0.00158260559895283,2,2,0,0.0,0.001,0.0010005002501250625,0.6318693682504818,0.6321854609809722
M24,0.005054896308264129,14,14,0,0.0,0.007,0.007003501750875438,1.3847959627887654,1.3854887071423365
M25,0.006429777700487505,15,15,0,0.0,0.0075,0.007503751875937969,1.1664477917224652,1.1670313073761531
M26,0.0007994624785409985,0,0,0,0.0,0.0,0.0,0.0,0.0
M27,0.012329330812539344,23,23,0,0.0,0.0115,0.01150575287643822,0.9327351317643382,0.9332017326306535
M28,0.011707373184039475,30,30,0,0.0,0.015,0.015007503751875938,1.2812438592501112,1.2818848016509368
M29,0.022387995764694198,49,49,0,0.0,0.0245,0.02451225612806403,1.0943364585871695,1.0948839005374382
M30,0.013796028272649707,25,25,0,0.0,0.0125,0.01250625312656328,0.9060578706395485,0.9065111262026496
M31,0.017016128232090772,34,34,0,0.0,0.017,0.017008504252126064,0.999052179680901,0.9995519556587302
M32,0.0132817650763337,25,25,0,0.0,0.0125,0.01250625312656328,0.941139971092645,0.9416107764808853
M33,0.01760498541917381,34,34,0,0.0,0.017,0.017008504252126064,0.9656355626108664,0.9661186219218273
M34,0.012153810229645,20,20,0,0.0,0.01,0.010005002501250625,0.8227872421118171,0.8231988415325834
M35,0.007392342445715932,16,16,0,0.0,0.008,0.0080040020010005,1.0822009476355121,1.0827423187949095
M36,0.02651329952997483,51,51,0,0.0,0.0255,0.025512756378189096,0.9617814625890212,0.9622625938859642
M37,0.026461090225740544,48,48,0,0.0,0.024,0.0240120060030015,0.9069921078555384,0.9074458307709239
M38,0.022329221753051125,40,40,0,0.0,0.02,0.02001000500250125,0.8956872846348596,0.896135352311015
M39,0.018810456444076043,41,41,0,0.0,0.0205,0.02051025512756378,1.0898193810951378,1.0903645633768262
M40,0.008378677229520667,18,18,0,0.0,0.009,0.009004502251125562,1.0741552339897067,1.0746925802798466
M41,0.006103506236242194,13,13,0,0.0,0.0065,0.0065032516258129065,1.0649616381815838,1.0654943853742709
M42,0.007681406375976459,10,10,0,0.0,0.005,0.0050025012506253125,0.6509224685257459,0.6512480925720319
M43,0.001866230748639811,6,6,0,0.0,0.003,0.0030015007503751876,1.6075182568857194,1.6083224180947668
M44,0.02036455068305088,40,40,0,0.0,0.02,0.02001000500250125,0.9820987612874618,0.9825900563156195
M45,0.0106408600022932,22,22,0,0.0,0.011,0.011005502751375688,1.0337510311788145,1.0342681652614454
M46,0.02249845701724498,42,42,0,0.0,0.021,0.021010505252626314,0.9333973429334991,0.9338642750710346
M47,0.01027182413515913,21,21,0,0.0,0.0105,0.010505252626313157,1.0222137627979684,1.0227251253606486
M48,0.025460539071053535,57,57,0,0.0,0.0285,0.028514257128564282,1.1193792841724264,1.119939253799326
M49,0.022517754917801048,41,41,0,0.0,0.0205,0.02051025512756378,0.9103927134313935,0.9108481375001435
M50,1.4482022336568201e-05,0,0,0,0.0,0.0,0.0,0.0,0.0
M51,0.005573363480121908,14,14,0,0.0,0.007,0.007003501750875438,1.255974067538636,1.2566023687229975
M52,0.024191011164318325,56,55,1,0.017857142857142856,0.028,0.02751375687843922,1.1574547177796324,1.1373545608139743
M53,0.012490187920892269,27,27,0,0.0,0.0135,0.013506753376688344,1.0808484296235947,1.0813891241856874
M54,0.02605361470432195,53,53,0,0.0,0.0265,0.026513256628314157,1.0171333345005673,1.0176421555783566
M55,0.010561786552092736,25,25,0,0.0,0.0125,0.01250625312656328,1.1835118934043618,1.1841039453770503
M56,0.0019410368885967517,4,4,0,0.0,0.002,0.002001000500250125,1.0303771204708403,1.0308925667542173
M57,0.016728134021447634,40,40,0,0.0,0.02,0.02001000500250125,1.1955906124590712,1.1961887068124772
M58,0.02068938335054803,49,49,0,0.0,0.0245,0.02451225612806403,1.1841822245200475,1.1847746118259603
M59,0.007169444681156208,24,24,0,0.0,0.012,0.01200600300150075,1.6737698013822702,1.6746071049347375
M60,0.0023159082579130613,3,3,0,0.0,0.0015,0.0015007503751875938,0.6476940504334562,0.6480180594631878
M61,0.008838658350622912,14,14,0,0.0,0.007,0.007003501750875438,0.7919754019575459,0.7923715877514216
M62,0.025620891734457946,38,38,0,0.0,0.019,0.01900950475237619,0.7415823070063794,0.7419532836482036
M63,0.02014537199646882,39,39,0,0.0,0.0195,0.01950975487743872,0.9679642551856603,0.968448479425373
M64,0.0031356981864526317,5,5,0,0.0,0.0025,0.0025012506253126563,0.7972706081219547,0.7976694428433763
M65,0.006547904465032597,9,9,0,0.0,0.0045,0.004502251125562781,0.6872427696572384,0.6875865629387078
M66,0.002685365013041516,3,3,0,0.0,0.0015,0.0015007503751875938,0.5585832811238797,0.5588627124801198
M67,0.0015917023633082714,8,8,0,0.0,0.004,0.00400200100050025,2.5130326449262825,2.514289789821193
M68,0.021181314831245402,41,41,0,0.0,0.0205,0.02051025512756378,0.967834157762465,0.9683183169209253
M69,0.0047219006213382025,9,9,0,0.0,0.0045,0.004502251125562781,0.9530060797265751,0.9534828211371438
M70,0.014863596906722966,20,20,0,0.0,0.01,0.010005002501250625,0.6727846605875656,0.6731212211981646
M71,0.011890578927731356,23,23,0,0.0,0.0115,0.01150575287643822,0.967152236227923,0.9676360542550506
M72,0.005067550340432791,9,9,0,0.0,0.0045,0.004502251125562781,0.8880030187555433,0.8884472423767317
M73,0.019450518682170622,37,37,0,0.0,0.0185,0.018509254627313655,0.951131448075885,0.9516072517017359
M74,0.0034805271771320115,8,8,0,0.0,0.004,0.00400200100050025,1.1492511899579647,1.1498261030094694
M75,0.01710710751760671,28,28,0,0.0,0.014,0.014007003501750876,0.8183732980921022,0.8187826894368206
M76,0.003096268205913306,7,7,0,0.0,0.0035,0.003501750875437719,1.1303930303310419,1.1309585095858348
M77,0.011181827671492115,22,22,0,0.0,0.011,0.011005502751375688,0.9837390025285685,0.9842311180876123
M78,0.005657030293121001,15,15,0,0.0,0.0075,0.007503751875937969,1.3257839557833138,1.3264471793730004
M79,0.007169959990843302,14,14,0,0.0,0.007,0.007003501750875438,0.9762955454339555,0.9767839374026568
