miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M0,0.10786845468058666,0,0,0,0.0,0.0,0.0,0.0,0.0
M1,0.13347593141841077,1,1,0,0.0,0.14285714285714285,0.14285714285714285,1.0702839181494417,1.0702839181494417
M2,0.22037505171178873,3,3,0,0.0,0.42857142857142855,0.42857142857142855,1.944736599004517,1.944736599004517
M3,0.11103276683011981,0,0,0,0.0,0.0,0.0,0.0,0.0
M4,0.12109312395583337,2,2,0,0.0,0.2857142857142857,0.2857142857142857,2.3594592028073786,2.3594592028073786
M5,0.14006002990027722,0,0,0,0.0,0.0,0.0,0.0,0.0
M6,0.04403166716503463,0,0,0,0.0,0.0,0.0,0.0,0.0
M7,0.12206297433794894,1,1,0,0.0,0.14285714285714285,0.14285714285714285,1.1703560693320667,1.1703560693320667
